BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Mecranium latifolium,Mecranium,latifolium,,(Cogn.) Skean,Melastomataceae,Myrtales,PRTRE562-13,,KJ082415,KJ426817,R.A. Muscarella-705,17-Apr-2012,US
Mecranium latifolium,Mecranium,latifolium,,(Cogn.) Skean,Melastomataceae,Myrtales,PRTRE074-13,,KJ082416,KJ426818,R.A. Muscarella-32,06-Dec-2011,US
Melicoccus bijugatus,Melicoccus,bijugatus,,Jacq.,Sapindaceae,Sapindales,PRTRE058-13,KJ012677,KJ082417,KJ426819,R.A. Muscarella-141,07-Jul-2011,US
Meliosma obtusifolia,Meliosma,obtusifolia,,Krug & Urb.,Sabiaceae,Sabiales,PRTRE413-13,HQ427360.1,HQ427213.1,,Brother Alain Liogier-9828,07-Aug-1959,US
Melochia tomentosa,Melochia,tomentosa,,L.,Malvaceae,Malvales,PRTRE320-13,,KJ082418,KJ426820,J.D. Ackerman-4467,02-Jun-2008,US
Metopium toxiferum,Metopium,toxiferum,,(L.) Krug & Urb.,Anacardiaceae,Sapindales,PRTRE092-13,KJ012678,KJ082419,KJ426821,R.A. Muscarella-391,28-Jul-2011,US
Miconia calycina,Miconia,calycina,,Cogn.,Melastomataceae,Myrtales,PRTRE518-13,,KJ082420,KJ426822,R.A. Muscarella-697,17-Apr-2012,US
Miconia foveolata,Miconia,foveolata,,Cogn.,Melastomataceae,Myrtales,PRTRE104-13,KJ012679,KJ082421,KJ426823,R.A. Muscarella-282,18-Jul-2011,US
Miconia laevigata,Miconia,laevigata,,(L.) D. Don.,Melastomataceae,Myrtales,PRTRE587-13,,KJ082422,KJ426824,R.A. Muscarella-538,02-Jun-2012,US
Miconia laevigata,Miconia,laevigata,,(L.) D. Don,Melastomataceae,Myrtales,PRTRE392-13,,KJ082423,,R.A. Muscarella-31,06-Dec-2011,US
Miconia mirabilis,Miconia,mirabilis,,(Aubl.) L.O. Williams,Melastomataceae,Myrtales,PRTRE499-13,,KJ082424,,R.A. Muscarella-698,17-Apr-2012,US
Miconia pachyphylla,Miconia,pachyphylla,,Cogn.,Melastomataceae,Myrtales,PRTRE249-13,KJ012680,KJ082426,KJ426825,R.A. Muscarella-286,18-Jul-2011,US
Miconia prasina,Miconia,prasina,,(Sw.) DC.,Melastomataceae,Myrtales,PRTRE525-13,,KJ082427,KJ426826,R.A. Muscarella-41,07-Jan-2011,US
Miconia pycnoneura,Miconia,pycnoneura,,Urb.,Melastomataceae,Myrtales,PRTRE066-13,,KJ082428,KJ426827,R.A. Muscarella-63,16-Jun-2011,US
Miconia rubiginosa,Miconia,rubiginosa,,(Bonpl.) DC.,Melastomataceae,Myrtales,PRTRE395-13,,KJ082430,,Elbert L. Little Jr.-21735,08-May-1966,US
Miconia serrulata,Miconia,serrulata,,(DC.) Naudin,Melastomataceae,Myrtales,PRTRE568-13,,KJ082429,KJ426828,R.A. Muscarella-708,17-Apr-2012,US
Miconia sintenisii,Miconia,sintenisii,,Cogn.,Melastomataceae,Myrtales,PRTRE159-13,,KJ082431,KJ426830,R.A. Muscarella-256,17-Jul-2011,US
Miconia tetrastoma,Miconia,tetrastoma,,Naudin,Melastomataceae,Myrtales,PRTRE388-13,,KJ082433,,R.A. Muscarella-248,17-Jul-2011,US
Miconia thomasiana,Miconia,thomasiana,,DC.,Melastomataceae,Myrtales,PRTRE009-13,,KJ082434,KJ426831,R.A. Muscarella-137,07-Jul-2011,US
Micropholis guyanensis,Micropholis,guyanensis,,(A. DC.) Pierre,Sapotaceae,Ericales,PRTRE399-13,KJ012681,KJ082435,,R.A. Muscarella-61,06-Oct-2011,US
Morinda citrifolia,Morinda,citrifolia,,L.,Rubiaceae,Gentianales,PRTRE222-13,,KJ082438,KJ426833,R.A. Muscarella-289,19-Jul-2011,US
Morisonia americana,Morisonia,americana,,L.,Capparaceae,Brassicales,PRTRE433-13,KJ012683,KJ082439,,J.C. Trejo-3028,08-Mar-2001,US
Mosiera xerophytica,Mosiera,xerophytica,,(Britton) Salywon,Myrtaceae,Myrtales,PRTRE118-13,KJ012684,KJ082440,,R.A. Muscarella-225,16-Jul-2011,US
Mouriri domingensis,Mouriri,domingensis,,(Tuss.) Spach,Melastomataceae,Myrtales,PRTRE403-13,,KJ082441,,R.A. Howard-16803,17-Oct-1967,US
Mouriri helleri,Mouriri,helleri,var. helleri,Britton,Melastomataceae,Myrtales,PRTRE514-13,KJ012685,KJ082442,KJ426834,R.A. Muscarella-632,21-Feb-2012,US
